date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-09-25T00:00:00.000Z,0.73,0.7752,0.7002,0.77,1090376,2.92,3.1008,2.8008,3.08,272594,0,1
2018-09-26T00:00:00.000Z,0.7746,0.7958,0.73,0.76,680241,3.0984,3.1832,2.92,3.04,170060,0,1
2018-09-27T00:00:00.000Z,0.7684,0.79,0.73,0.76,718571,3.0736,3.16,2.92,3.04,179642,0,1
2018-09-28T00:00:00.000Z,0.7295,0.77,0.72,0.7455,632904,2.918,3.08,2.88,2.982,158226,0,1
2018-10-01T00:00:00.000Z,0.7199,0.74,0.71,0.7385,347776,2.8796,2.96,2.84,2.954,86944,0,1
2018-10-02T00:00:00.000Z,0.687,0.735,0.67,0.7101,630444,2.748,2.94,2.68,2.8404,157611,0,1
2018-10-03T00:00:00.000Z,0.6698,0.687,0.65,0.6818,775877,2.6792,2.748,2.6,2.7272,193969,0,1
2018-10-04T00:00:00.000Z,0.7,0.72,0.66,0.67,576059,2.8,2.88,2.64,2.68,144014,0,1
2018-10-05T00:00:00.000Z,0.6747,0.715,0.66,0.682,227478,2.6988,2.86,2.64,2.728,56869,0,1
2018-10-08T00:00:00.000Z,0.71,0.719,0.6676,0.698,461424,2.84,2.876,2.6704,2.792,115356,0,1
2018-10-09T00:00:00.000Z,0.67,0.7,0.655,0.7,413328,2.68,2.8,2.62,2.8,103332,0,1
2018-10-10T00:00:00.000Z,0.63,0.681,0.63,0.66,398313,2.52,2.724,2.52,2.64,99578,0,1
2018-10-11T00:00:00.000Z,0.585,0.63,0.57,0.63,736269,2.34,2.52,2.28,2.52,184067,0,1
2018-10-12T00:00:00.000Z,0.6085,0.678021,0.59,0.6,698936,2.434,2.712084,2.36,2.4,174734,0,1
2018-10-15T00:00:00.000Z,0.6208,0.6569,0.6003,0.64,366297,2.4832,2.6276,2.4012,2.56,91574,0,1
2018-10-16T00:00:00.000Z,0.65,0.6699,0.5999,0.6,817106,2.6,2.6796,2.3996,2.4,204276,0,1
2018-10-17T00:00:00.000Z,0.610415,0.64,0.6006,0.62,233400,2.44166,2.56,2.4024,2.48,58350,0,1
2018-10-18T00:00:00.000Z,0.6097,0.64,0.59,0.6366,218433,2.4388,2.56,2.36,2.5464,54608,0,1
2018-10-19T00:00:00.000Z,0.6301,0.6495,0.6,0.64,405403,2.5204,2.598,2.4,2.56,101350,0,1
2018-10-22T00:00:00.000Z,0.651,0.688,0.6399,0.64,690144,2.604,2.752,2.5596,2.56,172536,0,1
2018-10-23T00:00:00.000Z,0.6347,0.6662,0.6,0.65,344775,2.5388,2.6648,2.4,2.6,86193,0,1
2018-10-24T00:00:00.000Z,0.6202,0.69,0.611,0.6347,411764,2.4808,2.76,2.444,2.5388,102941,0,1
2018-10-25T00:00:00.000Z,0.6402,0.67,0.63,0.6556,329293,2.5608,2.68,2.52,2.6224,82323,0,1
2018-10-26T00:00:00.000Z,0.664,0.677,0.6177,0.6386,346093,2.656,2.708,2.4708,2.5544,86523,0,1
2018-10-29T00:00:00.000Z,0.58,0.68,0.58,0.68,461029,2.32,2.72,2.32,2.72,115257,0,1
2018-10-30T00:00:00.000Z,0.5851,0.596,0.55,0.596,338735,2.3404,2.384,2.2,2.384,84683,0,1
2018-10-31T00:00:00.000Z,0.588,0.59,0.557,0.5801,214601,2.352,2.36,2.228,2.3204,53650,0,1
2018-11-01T00:00:00.000Z,0.64,0.6551,0.5902,0.6,397330,2.56,2.6204,2.3608,2.4,99332,0,1
2018-11-02T00:00:00.000Z,0.661,0.67,0.6333,0.6549,292504,2.644,2.68,2.5332,2.6196,73126,0,1
2018-11-05T00:00:00.000Z,0.728,0.77,0.675,0.69,1447176,2.912,3.08,2.7,2.76,361794,0,1
2018-11-06T00:00:00.000Z,0.8073,0.8615,0.726,0.726,2272092,3.2292,3.446,2.904,2.904,568023,0,1
2018-11-07T00:00:00.000Z,0.869,0.8998,0.8117,0.87,1598123,3.476,3.5992,3.2468,3.48,399530,0,1
2018-11-08T00:00:00.000Z,0.761,0.85,0.76,0.8266,869060,3.044,3.4,3.04,3.3064,217265,0,1
2018-11-09T00:00:00.000Z,0.7302,0.746,0.7003,0.7201,436804,2.9208,2.984,2.8012,2.8804,109201,0,1
2018-11-12T00:00:00.000Z,0.702,0.75,0.7,0.75,346569,2.808,3,2.8,3,86642,0,1
2018-11-13T00:00:00.000Z,0.6833,0.7,0.67,0.67,303241,2.7332,2.8,2.68,2.68,75810,0,1
2018-11-14T00:00:00.000Z,0.6647,0.709,0.65,0.6974,386650,2.6588,2.836,2.6,2.7896,96662,0,1
2018-11-15T00:00:00.000Z,0.6694,0.7,0.62,0.6982,331872,2.6776,2.8,2.48,2.7928,82968,0,1
2018-11-16T00:00:00.000Z,0.6706,0.7,0.649,0.68,209969,2.6824,2.8,2.596,2.72,52492,0,1
2018-11-19T00:00:00.000Z,0.6406,0.6758,0.6201,0.6606,348958,2.5624,2.7032,2.4804,2.6424,87239,0,1
2018-11-20T00:00:00.000Z,0.6218,0.6384,0.613489,0.63,215879,2.4872,2.5536,2.453956,2.52,53969,0,1
2018-11-21T00:00:00.000Z,0.6052,0.64,0.6,0.6,325533,2.4208,2.56,2.4,2.4,81383,0,1
2018-11-23T00:00:00.000Z,0.5816,0.6,0.5701,0.6,166050,2.3264,2.4,2.2804,2.4,41512,0,1
2018-11-26T00:00:00.000Z,0.59,0.639517,0.58,0.6,183819,2.36,2.558068,2.32,2.4,45954,0,1
2018-11-27T00:00:00.000Z,0.5968,0.6103,0.581,0.59,159014,2.3872,2.4412,2.324,2.36,39753,0,1
2018-11-28T00:00:00.000Z,0.66,0.67,0.6,0.6,685970,2.64,2.68,2.4,2.4,171492,0,1
2018-11-29T00:00:00.000Z,0.65,0.68,0.6301,0.65,195766,2.6,2.72,2.5204,2.6,48941,0,1
2018-11-30T00:00:00.000Z,0.6174,0.65,0.61,0.633,164833,2.4696,2.6,2.44,2.532,41208,0,1
2018-12-03T00:00:00.000Z,0.6078,0.6295,0.58,0.61,282534,2.4312,2.518,2.32,2.44,70633,0,1
2018-12-04T00:00:00.000Z,0.58,0.6099,0.58,0.5901,151875,2.32,2.4396,2.32,2.3604,37968,0,1
2018-12-06T00:00:00.000Z,0.5569,0.58,0.55,0.5701,226510,2.2276,2.32,2.2,2.2804,56627,0,1
2018-12-07T00:00:00.000Z,0.5034,0.568911,0.4915,0.5569,718194,2.0136,2.275644,1.966,2.2276,179548,0,1
2018-12-10T00:00:00.000Z,0.5031,0.5355,0.5,0.51,255569,2.0124,2.142,2,2.04,63892,0,1
2018-12-11T00:00:00.000Z,0.495,0.5261,0.4901,0.52,206942,1.98,2.1044,1.9604,2.08,51735,0,1
2018-12-12T00:00:00.000Z,0.5201,0.54,0.5,0.52,520223,2.0804,2.16,2,2.08,130055,0,1
2018-12-13T00:00:00.000Z,0.4521,0.5269,0.45,0.5011,417010,1.8084,2.1076,1.8,2.0044,104252,0,1
2018-12-14T00:00:00.000Z,0.4277,0.4747,0.41,0.4747,264462,1.7108,1.8988,1.64,1.8988,66115,0,1
2018-12-17T00:00:00.000Z,0.46,0.495,0.42,0.4609,740853,1.84,1.98,1.68,1.8436,185213,0,1
2018-12-18T00:00:00.000Z,0.42,0.5,0.42,0.484,518939,1.68,2,1.68,1.936,129734,0,1
2018-12-19T00:00:00.000Z,0.464,0.52,0.46,0.4605,983511,1.856,2.08,1.84,1.842,245877,0,1
2018-12-20T00:00:00.000Z,0.43,0.5,0.4029,0.48,599552,1.72,2,1.6116,1.92,149888,0,1
2018-12-21T00:00:00.000Z,0.417,0.4521,0.41,0.45,438544,1.668,1.8084,1.64,1.8,109636,0,1
2018-12-24T00:00:00.000Z,0.388,0.3999,0.3618,0.3618,297656,1.552,1.5996,1.4472,1.4472,74414,0,1
2018-12-26T00:00:00.000Z,0.39,0.4,0.3551,0.36,233869,1.56,1.6,1.4204,1.44,58467,0,1
2018-12-27T00:00:00.000Z,0.388,0.4,0.36,0.39,371187,1.552,1.6,1.44,1.56,92796,0,1
2018-12-28T00:00:00.000Z,0.402,0.4197,0.37,0.38,316300,1.608,1.6788,1.48,1.52,79075,0,1
2018-12-31T00:00:00.000Z,0.3622,0.4125,0.36,0.4125,505042,1.4488,1.65,1.44,1.65,126260,0,1
2019-01-02T00:00:00.000Z,0.3813,0.39,0.3631,0.378,264714,1.5252,1.56,1.4524,1.512,66178,0,1
2019-01-03T00:00:00.000Z,0.38,0.3955,0.38,0.3924,132868,1.52,1.582,1.52,1.5696,33217,0,1
2019-01-04T00:00:00.000Z,0.4029,0.41,0.38,0.38,212849,1.6116,1.64,1.52,1.52,53212,0,1
2019-01-07T00:00:00.000Z,0.418,0.43,0.38,0.4144,572367,1.672,1.72,1.52,1.6576,143091,0,1
2019-01-08T00:00:00.000Z,0.4256,0.469,0.4119,0.4119,282943,1.7024,1.876,1.6476,1.6476,70735,0,1
2019-01-09T00:00:00.000Z,0.4209,0.4468,0.4031,0.4468,124952,1.6836,1.7872,1.6124,1.7872,31238,0,1
2019-01-10T00:00:00.000Z,0.402,0.44,0.4,0.429,214547,1.608,1.76,1.6,1.716,53636,0,1
2019-01-11T00:00:00.000Z,0.39,0.42,0.382,0.4052,238179,1.56,1.68,1.528,1.6208,59544,0,1
2019-01-14T00:00:00.000Z,0.38,0.408899,0.38,0.4,232301,1.52,1.635596,1.52,1.6,58075,0,1
2019-01-15T00:00:00.000Z,0.3774,0.395,0.371,0.3879,168816,1.5096,1.58,1.484,1.5516,42204,0,1
2019-01-16T00:00:00.000Z,0.370061,0.377,0.362,0.3716,127620,1.480244,1.508,1.448,1.4864,31905,0,1
2019-01-17T00:00:00.000Z,0.366,0.3729,0.366,0.37,143475,1.464,1.4916,1.464,1.48,35868,0,1
2019-01-18T00:00:00.000Z,0.383,0.389,0.363,0.3725,183151,1.532,1.556,1.452,1.49,45787,0,1
2019-01-22T00:00:00.000Z,0.368,0.3906,0.3665,0.39,101090,1.472,1.5624,1.466,1.56,25272,0,1
2019-01-23T00:00:00.000Z,0.4093,0.4299,0.3701,0.38,917810,1.6372,1.7196,1.4804,1.52,229452,0,1
2019-01-24T00:00:00.000Z,0.3968,0.4098,0.3751,0.4069,297938,1.5872,1.6392,1.5004,1.6276,74484,0,1
2019-01-25T00:00:00.000Z,0.3755,0.4,0.3701,0.387,136665,1.502,1.6,1.4804,1.548,34166,0,1
2019-01-28T00:00:00.000Z,0.368,0.39,0.36,0.369,204871,1.472,1.56,1.44,1.476,51217,0,1
2019-01-29T00:00:00.000Z,0.36,0.369,0.35,0.369,128697,1.44,1.476,1.4,1.476,32174,0,1
2019-01-30T00:00:00.000Z,0.349991,0.3675,0.34,0.3618,283380,1.399964,1.47,1.36,1.4472,70845,0,1
2019-01-31T00:00:00.000Z,0.3401,0.3525,0.329138,0.3517,253317,1.3604,1.41,1.316552,1.4068,63329,0,1
2019-02-01T00:00:00.000Z,0.34,0.3417,0.33,0.3401,62227,1.36,1.3668,1.32,1.3604,15556,0,1
2019-02-04T00:00:00.000Z,0.47,0.47,0.336,0.336,1373040,1.88,1.88,1.344,1.344,343260,0,1
2019-02-05T00:00:00.000Z,0.4122,0.47,0.39,0.47,1151365,1.6488,1.88,1.56,1.88,287841,0,1
2019-02-06T00:00:00.000Z,0.396,0.4246,0.38,0.4246,329114,1.584,1.6984,1.52,1.6984,82278,0,1
2019-02-07T00:00:00.000Z,0.386,0.4,0.36,0.4,132215,1.544,1.6,1.44,1.6,33053,0,1
2019-02-08T00:00:00.000Z,0.515,0.5764,0.37,0.372,3826952,2.06,2.3056,1.48,1.488,956738,0,1
2019-02-11T00:00:00.000Z,0.5044,0.57,0.5,0.55,1504740,2.0176,2.28,2,2.2,376185,0,1
2019-02-12T00:00:00.000Z,0.57,0.576,0.5001,0.5001,545225,2.28,2.304,2.0004,2.0004,136306,0,1
2019-02-13T00:00:00.000Z,0.53,0.59,0.52,0.5899,525638,2.12,2.36,2.08,2.3596,131409,0,1
2019-02-14T00:00:00.000Z,0.52,0.5627,0.5,0.528,898255,2.08,2.2508,2,2.112,224563,0,1
2019-02-15T00:00:00.000Z,0.54,0.5601,0.5156,0.53,421038,2.16,2.2404,2.0624,2.12,105259,0,1
2019-02-19T00:00:00.000Z,0.7299,0.785,0.6,0.6,5474293,2.9196,3.14,2.4,2.4,1368573,0,1
2019-02-20T00:00:00.000Z,0.705,0.73,0.621,0.685,2506597,2.82,2.92,2.484,2.74,626649,0,1
2019-02-21T00:00:00.000Z,0.6335,0.6905,0.62,0.6505,509132,2.534,2.762,2.48,2.602,127283,0,1
2019-02-22T00:00:00.000Z,0.7399,0.7417,0.6511,0.6511,1550438,2.9596,2.9668,2.6044,2.6044,387609,0,1
2019-02-25T00:00:00.000Z,0.6949,0.73,0.63,0.69,1512783,2.7796,2.92,2.52,2.76,378195,0,1
2019-02-26T00:00:00.000Z,0.65,0.69,0.641,0.6782,575091,2.6,2.76,2.564,2.7128,143772,0,1
2019-02-27T00:00:00.000Z,0.64,0.67,0.64,0.64,308160,2.56,2.68,2.56,2.56,77040,0,1
2019-02-28T00:00:00.000Z,0.633,0.67,0.6103,0.6595,498432,2.532,2.68,2.4412,2.638,124608,0,1
2019-03-01T00:00:00.000Z,0.6449,0.6899,0.64,0.6525,321581,2.5796,2.7596,2.56,2.61,80395,0,1
2019-03-04T00:00:00.000Z,0.6199,0.6499,0.611,0.6362,359586,2.4796,2.5996,2.444,2.5448,89896,0,1
2019-03-05T00:00:00.000Z,0.65,0.6744,0.65,0.65,628779,2.6,2.6976,2.6,2.6,157194,0,1
2019-03-06T00:00:00.000Z,0.61,0.6605,0.6,0.6605,284875,2.44,2.642,2.4,2.642,71218,0,1
2019-03-07T00:00:00.000Z,0.64,0.665,0.6,0.62,436919,2.56,2.66,2.4,2.48,109229,0,1
2019-03-08T00:00:00.000Z,0.6289,0.66,0.6101,0.64,313194,2.5156,2.64,2.4404,2.56,78298,0,1
2019-03-11T00:00:00.000Z,0.6175,0.6446,0.605,0.63,373381,2.47,2.5784,2.42,2.52,93345,0,1
2019-03-12T00:00:00.000Z,0.6199,0.64,0.61,0.6105,285730,2.4796,2.56,2.44,2.442,71432,0,1
2019-03-13T00:00:00.000Z,0.6094,0.65,0.5842,0.65,205741,2.4376,2.6,2.3368,2.6,51435,0,1
2019-03-14T00:00:00.000Z,0.5949,0.6197,0.58,0.6085,162677,2.3796,2.4788,2.32,2.434,40669,0,1
2019-03-15T00:00:00.000Z,0.6003,0.62,0.57,0.57,434194,2.4012,2.48,2.28,2.28,108548,0,1
2019-03-18T00:00:00.000Z,0.6152,0.64,0.601,0.64,346042,2.4608,2.56,2.404,2.56,86510,0,1
2019-03-19T00:00:00.000Z,0.6325,0.65,0.625,0.65,413299,2.53,2.6,2.5,2.6,103324,0,1
2019-03-20T00:00:00.000Z,0.635,0.648075,0.615,0.627,223865,2.54,2.5923,2.46,2.508,55966,0,1
